relative_date,1973-01-02 00:00:00,1975-11-25 00:00:00,1977-07-07 00:00:00,1980-10-29 00:00:00,1982-04-05 00:00:00,1983-09-02 00:00:00,1984-10-08 00:00:00,1986-03-06 00:00:00,1988-10-13 00:00:00,1990-07-10 00:00:00,1990-07-16 00:00:00,1991-07-25 00:00:00,1995-04-04 00:00:00,1999-06-15 00:00:00,2000-08-02 00:00:00,2004-01-13 00:00:00,2004-07-20 00:00:00,2005-10-03 00:00:00,2005-12-27 00:00:00,2009-10-01 00:00:00,2010-10-20 00:00:00,2012-08-02 00:00:00,2014-06-16 00:00:00,2015-08-14 00:00:00,2016-11-14 00:00:00,2018-09-14 00:00:00,2020-01-10 00:00:00,avg
-42,92.87993632562333,95.01709107189251,99.55968934247721,95.67664275634013,101.52532027263663,102.10908831972066,99.76561717672978,93.56815587781583,93.99389626263347,96.17660937019538,96.02384796249783,99.089142876277,93.57731329335195,101.66696953768061,102.68020156408161,93.34207146103107,98.45039073575033,101.49507529311504,94.81432885908649,97.35689941754497,90.96224665647627,93.63956437442765,95.10780132962134,100.22710538222013,99.21726541962644,96.71495389702388,94.72430170183286,97.01338987176705
-41,92.8547420274908,93.73828644856853,99.2494746345346,96.73989079903754,101.47301905566412,101.551513671875,102.10324326196441,94.96735149232892,94.67335092032309,96.44590780744605,95.9479572537208,100.25724774472641,94.73715524268856,101.37108160039358,102.01084692380596,94.40877409925756,98.19693962657828,100.7467216551967,93.82112688535062,97.65014791032,90.59473128151495,94.17582417582418,96.10533860592477,100.42551909968405,98.84298865042756,96.92390777623085,94.5384083618283,97.2056110004706
-40,93.6859809072958,92.45949023599817,99.53967869201654,98.60057785608711,102.20517624446141,101.26060717033619,102.0292315962803,92.37773584598743,94.74965040951237,98.74050033454711,96.07534611539656,100.4803698894611,95.22999444783503,99.10233534660469,101.33036875637949,94.3980719069739,98.24293055941689,99.97718209523893,95.37380401135621,97.36563523561995,89.2799813170273,96.34652050423534,96.23641215162073,101.42000395006482,98.84114986830146,96.54076823558144,94.686327512319,97.28058634059092
-39,94.60117515738429,91.42321810404623,98.84919291267195,98.05331450091916,99.9128335216687,101.88484885475853,102.03539609793633,91.55154627995434,94.84412383603362,99.51191049341077,96.12142645747797,101.57496853595649,95.16467557042576,100.3850417807202,102.27010740864242,93.67920684888047,98.63710709655399,99.7089796664904,96.05822116628858,96.81798715609531,89.5736537758783,96.33626302083333,96.59971649762818,100.88212278164872,98.8707170336541,96.44920436501233,94.75370010962347,97.27965403817018
-38,95.07137263443126,92.40436615677594,98.79916246915089,97.6311419576724,99.08480517647055,100.32121138139205,101.41244261837161,91.48492082211612,94.55707763974776,99.3800691420185,97.03211496280238,102.328327203943,95.23988831885373,102.68683021451241,101.59658674866343,93.07986230644329,98.80397149376942,100.38151576564967,95.7199907981444,98.11914399413692,88.88529937464054,97.11795122195512,96.99501596732428,101.4969858577407,99.9501047034129,96.62648277582323,94.83301300632814,97.44591313749224
-37,95.90260510836335,94.75250558453013,99.09936803449375,96.40371669782206,99.93898745508928,100.2787919477983,100.41324748582447,91.82250110477615,93.37257824523151,99.30152590462976,97.1486599313766,101.86371436968935,95.04196257676509,104.43142354473918,101.26850633345296,92.23435645420584,100.39506838907866,100.19809682951532,96.67499419055147,97.79094037584879,90.35961924947125,95.8923116271749,96.78033555382054,101.5615245942896,100.59975883751969,97.08844540431731,95.56279932057677,97.6362350055908
-36,95.70109556441345,95.77775121848691,99.53967869201654,96.99788612513137,99.73851386474341,100.61211788293087,101.01153354731211,91.7869652680065,93.4125409481872,99.43336725602202,97.38175813999193,101.77971412520266,95.29332609474052,104.28002243716006,100.50740592728727,92.97372225296063,100.56553322561376,100.90569070384828,97.08723188132093,96.55289597110472,89.02959715669027,97.00952774439102,96.94650357363925,100.81471254407053,100.02264070998199,97.97210609004372,95.6108820165334,97.73128596154932
-35,95.17212420346975,95.65648497280088,99.83988425735942,97.57641621862142,99.69493062557775,99.56969290068656,101.2397424574734,92.50654732373059,94.88046062226718,99.4810581961302,97.14324212055928,101.08410462396273,95.33093246895452,104.52519316118813,102.13665053712806,92.18976217181122,101.1373974989609,100.30081222983969,97.10315443340585,97.66568154612364,89.0643894272527,96.32820548592032,96.16158677670956,100.51493250571848,99.16366999704329,97.67502566225596,95.55422353885352,97.72949281347427
-34,95.29807007064076,96.94631609412004,100.37026192880225,98.24095071880096,99.41601518457608,99.36363451408617,101.73317552209093,92.91075984199666,94.17193210021857,100.42357704479508,96.10515648209218,100.7008645232105,95.50906442879143,104.73731232356043,102.21311524092916,92.33513996790866,101.083280803988,100.58449859221588,97.31564618554329,98.33762241850353,91.69220051164739,97.36996158138737,96.47276911968494,100.47572367662323,99.80269754978333,97.03406175985171,95.19530426978228,97.99404120206039
-33,95.49118792108605,97.42035457886894,99.94996192174011,98.14713260986005,99.09352315427742,99.89091352982955,103.51569529178892,92.58205843520318,94.35360494295612,100.54419548782585,97.75036779077556,99.59838334375927,95.90294076289356,103.82351122791478,102.78237510637773,93.83350132400163,101.13017459928597,99.40001747415646,96.97979594263451,97.49866977315676,92.52484233392518,98.37655427255036,96.93205253726559,98.37917774217843,100.33130792798246,96.47571124411054,95.04463369150244,98.06491277658917
