date,^GSPC,VBTIX
1972-01-03,101.66999816894531,
1972-01-04,102.08999633789062,
1972-01-05,103.05999755859375,
1972-01-06,103.51000213623047,
1972-01-07,103.47000122070312,
1972-01-10,103.31999969482422,
1972-01-11,103.6500015258789,
1972-01-12,103.58999633789062,
1972-01-13,102.98999786376953,
1972-01-14,103.38999938964844,
1972-01-17,103.69999694824219,
1972-01-18,104.05000305175781,
1972-01-19,103.87999725341797,
1972-01-20,103.87999725341797,
1972-01-21,103.6500015258789,
1972-01-24,102.56999969482422,
1972-01-25,102.69999694824219,
1972-01-26,102.5,
1972-01-27,103.5,
1972-01-28,104.16000366210938,
1972-01-31,103.94000244140625,
1972-02-01,104.01000213623047,
1972-02-02,104.68000030517578,
1972-02-03,104.63999938964844,
1972-02-04,104.86000061035156,
1972-02-07,104.54000091552734,
1972-02-08,104.73999786376953,
1972-02-09,105.55000305175781,
1972-02-10,105.58999633789062,
1972-02-11,105.08000183105469,
1972-02-14,104.58999633789062,
1972-02-15,105.02999877929688,
1972-02-16,105.62000274658203,
1972-02-17,105.58999633789062,
1972-02-18,105.27999877929688,
1972-02-22,105.29000091552734,
1972-02-23,105.37999725341797,
1972-02-24,105.44999694824219,
1972-02-25,106.18000030517578,
1972-02-28,106.19000244140625,
1972-02-29,106.56999969482422,
1972-03-01,107.3499984741211,
1972-03-02,107.31999969482422,
1972-03-03,107.94000244140625,
1972-03-06,108.7699966430664,
1972-03-07,108.87000274658203,
1972-03-08,108.95999908447266,
1972-03-09,108.94000244140625,
1972-03-10,108.37999725341797,
1972-03-13,107.33000183105469,
1972-03-14,107.61000061035156,
1972-03-15,107.75,
1972-03-16,107.5,
1972-03-17,107.91999816894531,
1972-03-20,107.58999633789062,
1972-03-21,106.69000244140625,
1972-03-22,106.83999633789062,
1972-03-23,107.75,
1972-03-24,107.5199966430664,
1972-03-27,107.30000305175781,
1972-03-28,107.16999816894531,
1972-03-29,106.48999786376953,
1972-03-30,107.19999694824219,
1972-04-03,107.4800033569336,
1972-04-04,108.12000274658203,
1972-04-05,109.0,
1972-04-06,109.52999877929688,
1972-04-07,109.62000274658203,
1972-04-10,109.44999694824219,
1972-04-11,109.76000213623047,
1972-04-12,110.18000030517578,
1972-04-13,109.91000366210938,
1972-04-14,109.83999633789062,
1972-04-17,109.51000213623047,
1972-04-18,109.7699966430664,
1972-04-19,109.19999694824219,
1972-04-20,109.04000091552734,
1972-04-21,108.88999938964844,
1972-04-24,108.19000244140625,
1972-04-25,107.12000274658203,
1972-04-26,106.88999938964844,
1972-04-27,107.05000305175781,
1972-04-28,107.66999816894531,
1972-05-01,106.69000244140625,
1972-05-02,106.08000183105469,
1972-05-03,105.98999786376953,
1972-05-04,106.25,
1972-05-05,106.62999725341797,
1972-05-08,106.13999938964844,
1972-05-09,104.73999786376953,
1972-05-10,105.41999816894531,
1972-05-11,105.7699966430664,
1972-05-12,106.37999725341797,
1972-05-15,106.86000061035156,
1972-05-16,106.66000366210938,
1972-05-17,106.88999938964844,
1972-05-18,107.94000244140625,
1972-05-19,108.9800033569336,
1972-05-22,109.69000244140625,
1972-05-23,109.77999877929688,
1972-05-24,110.30999755859375,
1972-05-25,110.45999908447266,
1972-05-26,110.66000366210938,
1972-05-30,110.3499984741211,
1972-05-31,109.52999877929688,
1972-06-01,109.69000244140625,
1972-06-02,109.7300033569336,
1972-06-05,108.81999969482422,
1972-06-06,108.20999908447266,
1972-06-07,107.6500015258789,
1972-06-08,107.27999877929688,
1972-06-09,106.86000061035156,
1972-06-12,107.01000213623047,
1972-06-13,107.55000305175781,
1972-06-14,108.38999938964844,
1972-06-15,108.44000244140625,
1972-06-16,108.36000061035156,
1972-06-19,108.11000061035156,
1972-06-20,108.55999755859375,
1972-06-21,108.79000091552734,
1972-06-22,108.68000030517578,
1972-06-23,108.2699966430664,
1972-06-26,107.4800033569336,
1972-06-27,107.37000274658203,
1972-06-28,107.0199966430664,
1972-06-29,106.81999969482422,
1972-06-30,107.13999938964844,
1972-07-03,107.48999786376953,
1972-07-05,108.0999984741211,
1972-07-06,109.04000091552734,
1972-07-07,108.69000244140625,
1972-07-10,108.11000061035156,
1972-07-11,107.31999969482422,
1972-07-12,106.88999938964844,
1972-07-13,106.27999877929688,
1972-07-14,106.80000305175781,
1972-07-17,105.87999725341797,
1972-07-18,105.83000183105469,
1972-07-19,106.13999938964844,
1972-07-20,105.80999755859375,
1972-07-21,106.66000366210938,
1972-07-24,107.91999816894531,
1972-07-25,107.5999984741211,
1972-07-26,107.52999877929688,
1972-07-27,107.27999877929688,
1972-07-28,107.37999725341797,
1972-07-31,107.38999938964844,
1972-08-01,108.4000015258789,
1972-08-02,109.29000091552734,
1972-08-03,110.13999938964844,
1972-08-04,110.43000030517578,
1972-08-07,110.61000061035156,
1972-08-08,110.69000244140625,
1972-08-09,110.86000061035156,
1972-08-10,111.05000305175781,
1972-08-11,111.94999694824219,
1972-08-14,112.55000305175781,
1972-08-15,112.05999755859375,
1972-08-16,111.66000366210938,
1972-08-17,111.33999633789062,
1972-08-18,111.76000213623047,
1972-08-21,111.72000122070312,
1972-08-22,112.41000366210938,
1972-08-23,112.26000213623047,
1972-08-24,111.0199966430664,
1972-08-25,110.66999816894531,
1972-08-28,110.2300033569336,
1972-08-29,110.41000366210938,
1972-08-30,110.56999969482422,
1972-08-31,111.08999633789062,
1972-09-01,111.51000213623047,
1972-09-05,111.2300033569336,
1972-09-06,110.55000305175781,
1972-09-07,110.29000091552734,
1972-09-08,110.1500015258789,
