,date,turbulence
0,1972-01-03,31.475282671044177
1,1972-01-04,80.08867448570346
2,1972-01-05,43.27183598444751
3,1972-01-06,54.379410486275376
4,1972-01-07,19.66167035478101
5,1972-01-10,31.09805005003682
6,1972-01-11,47.40378979765379
7,1972-01-12,29.363568304723458
8,1972-01-13,26.60330759335497
9,1972-01-14,39.04600369769553
10,1972-01-17,26.428539790834947
11,1972-01-18,33.88839078161629
12,1972-01-19,26.00284731035963
13,1972-01-20,53.79840798248888
14,1972-01-21,35.33788092302209
15,1972-01-24,34.94870357517949
16,1972-01-25,15.431229729147857
17,1972-01-26,43.27397663398456
18,1972-01-27,71.06402957447405
19,1972-01-28,32.693378558029984
20,1972-01-31,31.513269675661988
21,1972-02-01,40.152256108939284
22,1972-02-02,65.4040488855047
23,1972-02-03,34.37331209335717
24,1972-02-04,50.69924560637433
25,1972-02-07,37.018102847692205
26,1972-02-08,22.396973152903264
27,1972-02-09,51.80159993565616
28,1972-02-10,38.99408241981851
29,1972-02-11,36.136783402371044
30,1972-02-14,29.850912316047783
31,1972-02-15,33.40727038746399
32,1972-02-16,29.60723890635559
33,1972-02-17,48.99349497942755
34,1972-02-18,20.71247622998737
35,1972-02-22,34.538383895822534
36,1972-02-23,23.6135989302315
37,1972-02-24,25.27684647113765
38,1972-02-25,42.85159967978657
39,1972-02-28,40.126991582438194
40,1972-02-29,29.70471411259878
41,1972-03-01,69.72435234147353
42,1972-03-02,45.2576192582454
43,1972-03-03,47.2808459630409
44,1972-03-06,53.39287871362628
45,1972-03-07,26.868761120787894
46,1972-03-08,37.623735446866675
47,1972-03-09,32.097690152213765
48,1972-03-10,55.26716126081105
49,1972-03-13,41.66622926606965
50,1972-03-14,29.623434521782606
51,1972-03-15,32.143337046952055
52,1972-03-16,30.189919166811436
53,1972-03-17,50.00635473742752
54,1972-03-20,66.71521555955822
55,1972-03-21,24.631926646672902
56,1972-03-22,34.236694192566915
57,1972-03-23,31.52043826366114
58,1972-03-24,29.06002822960846
59,1972-03-27,18.955067540421375
60,1972-03-28,24.91447100314037
61,1972-03-29,22.60468250230432
62,1972-03-30,19.57774410458319
63,1972-04-03,24.761418745103253
64,1972-04-04,32.07171468563024
65,1972-04-05,45.146604367666285
66,1972-04-06,56.80749770343534
67,1972-04-07,29.717199429589353
68,1972-04-10,42.98133103295588
69,1972-04-11,47.86398776182754
70,1972-04-12,41.63937080669645
71,1972-04-13,33.645377020838055
72,1972-04-14,40.28663311395875
73,1972-04-17,34.94097673156932
74,1972-04-18,32.44835834387335
75,1972-04-19,21.028178030473512
76,1972-04-20,42.324933165551265
77,1972-04-21,28.389627837688863
78,1972-04-24,41.468966212400524
79,1972-04-25,29.664526909439868
80,1972-04-26,26.70659455783391
81,1972-04-27,18.74194780124869
82,1972-04-28,27.702794824181336
83,1972-05-01,32.08706948800505
84,1972-05-02,50.038573557880156
85,1972-05-03,29.60621995597002
86,1972-05-04,38.57099531892207
87,1972-05-05,31.680637234157537
88,1972-05-08,22.283560047066246
89,1972-05-09,30.72282899894646
90,1972-05-10,27.95130435655024
91,1972-05-11,46.93082697919696
92,1972-05-12,38.794449541326266
93,1972-05-15,29.62359294055687
94,1972-05-16,44.46318333522467
95,1972-05-17,49.44985908821066
96,1972-05-18,50.966415140519175
97,1972-05-19,34.98149395779879
98,1972-05-22,42.26202814592491
99,1972-05-23,50.32550497038413
100,1972-05-24,46.27349870584401
101,1972-05-25,39.24648330289846
102,1972-05-26,51.611054668436196
103,1972-05-30,40.0440326426243
104,1972-05-31,35.803296249344825
105,1972-06-01,27.289785108771742
106,1972-06-02,49.249704165146895
107,1972-06-05,28.49335520045883
108,1972-06-06,35.3927421495945
109,1972-06-07,33.05035179924628
110,1972-06-08,29.822097389746332
111,1972-06-09,33.05472892179819
112,1972-06-12,46.1331221972744
113,1972-06-13,41.40306047643757
114,1972-06-14,68.78365274669919
115,1972-06-15,42.5924294408667
116,1972-06-16,32.27506894834628
117,1972-06-19,21.76494376459953
118,1972-06-20,48.36124158016293
119,1972-06-21,56.34018846192589
120,1972-06-22,29.53524913704429
121,1972-06-23,23.430478656441714
122,1972-06-26,44.585389783415536
123,1972-06-27,30.072366914148112
124,1972-06-28,35.04388146546101
125,1972-06-29,33.30233977585896
126,1972-06-30,45.29252936757017
127,1972-07-03,34.066749864000485
128,1972-07-05,59.23275468402676
129,1972-07-06,37.477793430018984
130,1972-07-07,44.35327276823881
131,1972-07-10,35.872700501815764
132,1972-07-11,43.58259779038239
133,1972-07-12,51.573136076677045
134,1972-07-13,71.59900436735799
135,1972-07-14,58.57559313019243
136,1972-07-17,56.46110938356082
137,1972-07-18,74.22740703724295
138,1972-07-19,43.25931487005201
139,1972-07-20,61.99882596364179
140,1972-07-21,54.841097444438944
141,1972-07-24,44.07884757910429
142,1972-07-25,47.141667349655535
143,1972-07-26,57.108255617263325
144,1972-07-27,116.68214230717759
145,1972-07-28,56.25534510056197
146,1972-07-31,37.91203680131066
147,1972-08-01,48.04394468617795
148,1972-08-02,72.26739137221979
149,1972-08-03,71.3013518672374
150,1972-08-04,50.69398267546462
151,1972-08-07,38.023051413995034
152,1972-08-08,36.43496230944972
153,1972-08-09,48.29847805376263
154,1972-08-10,33.186858940277645
155,1972-08-11,69.9748799490188
156,1972-08-14,48.61162729715572
157,1972-08-15,36.76207754869548
158,1972-08-16,47.15258187604971
159,1972-08-17,45.40275010839292
160,1972-08-18,53.99391518393806
161,1972-08-21,62.19104097519094
162,1972-08-22,63.57016639601218
163,1972-08-23,73.69355246012806
