date,Agric,Oil,Util,Telcm,Autos
2009-01-02,1.0457,1.0418,1.0243,1.0415,1.0693
2009-01-05,1.0539610300000002,1.0564893800000001,1.03239197,1.0106716000000002,1.09357311
2009-01-06,1.0439484002150001,1.0606096885820002,1.0271267709529999,1.0229007263600003,1.1408154683519998
2009-01-07,1.209727406169142,1.0200943984781679,1.0063788101797493,0.9961007273293683,1.1081881459571326
2009-01-08,1.1695644562843266,1.0329475878989927,1.011108790587594,1.0083527662755194,1.1239244176297238
2009-01-09,1.142664473789787,1.0024756340559724,0.998065487189014,0.9836481235017692,1.0835755310368167
2009-01-12,1.100271621812186,0.9717998796538597,0.9942728383376958,0.9539419501720158,1.0513933377650233
2009-01-13,1.104782735461616,0.9918189571747292,0.9809495823039707,0.9486952694460697,1.0325733970190294
2009-01-14,1.076721253980891,0.9496666514948032,0.9643715343630336,0.9192857160932416,0.9767111762402999
2009-01-15,1.1051466950859865,0.9613475513081893,0.9706399493363932,0.9184583589487577,0.9885293814728076
2009-01-16,1.1213923515037505,0.9730759914341491,0.9889850443788509,0.9236017257588708,0.9887270873491021
2009-01-20,1.0667805439855178,0.9297741098153295,0.9643593167738175,0.8861034956930607,0.9254485537587595
2009-01-21,1.1016642677738442,0.9851886467603233,0.9836465031092938,0.9250034391539861,0.9500654852887425
2009-01-22,1.1037574298826145,0.9621352324261317,0.979121729194991,0.9083533772492143,0.9101627349066153
2009-01-23,1.1078413323731802,0.9805120153654707,0.9838215134951268,0.9164377223067321,0.9070681816079328
2009-01-26,1.1138236755679953,0.9966904636190009,1.0052688224893207,0.9333918201694067,0.9018071861546068
2009-01-27,1.1072521158821442,0.9959927802944676,1.0094909515437758,0.9199509779589673,0.9137110410118476
2009-01-28,1.1075842915169087,1.016609830846563,1.0203934538204484,0.9489294337646749,0.9574777998763152
2009-01-29,1.0994989261888353,0.9800118769360867,1.0120262274991207,0.9133445799984996,0.9121890999421655
2009-01-30,1.0715716534636388,0.9683497356005473,0.9916845003263884,0.8925203235745338,0.9003306416429173
2009-02-02,1.0702857674794826,0.959053578138782,0.9954529014276288,0.9034983235545005,0.8988901126162886
2009-02-03,1.084306511033464,0.9767960693343495,1.0039142510897636,0.9199419930431925,0.9133622434294109
2009-02-04,1.1123900496692307,0.9786519818660847,1.0120459565235906,0.895011565031722,0.9164676750570709
2009-02-05,1.1566631736460662,1.0031182814127368,1.0199399149844748,0.9019031540824662,0.939654307236015
2009-02-06,1.1797964371189875,1.020371915853036,1.031873211989793,0.9262545392426927,0.9850396102755145
2009-02-09,1.1756671495890711,1.0219024737268156,1.022792727724283,0.9210675138229336,0.9876992172232583
2009-02-10,1.1358120332180015,0.974281818451146,0.9929271800747339,0.8775931271704911,0.9402896547965418
2009-02-11,1.1263847933422921,0.9613238702657458,0.9877639587383453,0.8782074423595103,0.9486582327242309
2009-02-12,1.135057956251028,0.9643039742635697,0.9805532818395555,0.8835645077579033,0.9441046732071545
2009-02-13,1.1176915695203873,0.963821822276438,0.9803571711831875,0.880295319079199,0.9367406567561387
2009-02-17,1.0739898291521401,0.90483592675312,0.9312412769069098,0.83751296657195,0.8784753879059068
2009-02-18,1.0873073030336267,0.9015785174168087,0.9172726577533061,0.8236940026235128,0.8703055667983819
2009-02-19,1.1089447183639958,0.9056356207451843,0.918098203145284,0.8264121928321705,0.8457629498146675
2009-02-20,1.117927170582744,0.884624874343896,0.8932177418400468,0.8329408491555447,0.8333302344523918
2009-02-23,1.0492864423089636,0.8487975669329683,0.8693688281329176,0.8103681521434294,0.8014136864728653
2009-02-24,1.0860114677897772,0.8860597801213256,0.897188630633171,0.8467536821746693,0.8598367442167371
2009-02-25,1.0677664751309088,0.8807434214405976,0.8907288724926122,0.8476851112250615,0.8381688582624753
2009-02-26,1.0721443176789456,0.878453488544852,0.8762099918709827,0.8349698345566856,0.820064410924006
2009-02-27,1.0662475239317115,0.8506943583068347,0.8654326089709696,0.8295425306320672,0.8087475220532546
2009-03-02,1.0028057962577748,0.795229086145229,0.8292575259159831,0.7976051432027326,0.7447755930588422
2009-03-03,1.0050119690095418,0.7976147734036646,0.8019749533133472,0.7892302891991039,0.7428391765168892
2009-03-04,1.0295342610533746,0.8278443733156635,0.8193778098002469,0.813696428164276,0.762004427271025
2009-03-05,1.0025604634137761,0.7881906278338432,0.7889788930566577,0.7861934888923234,0.7058447009811505
2009-03-06,0.9970463808650004,0.7997770300630006,0.79221370651819,0.7825769988434187,0.6680114250085608
2009-03-09,1.012899418320754,0.8031360935892652,0.7745473408628344,0.7533868767865591,0.6680782261510616
2009-03-10,1.0780288509187785,0.8435338390968052,0.7946855717252681,0.8068020063507262,0.7159126271434777
2009-03-11,1.1244918943933777,0.83433932025065,0.7897585211805714,0.8130143817996268,0.7380343273222111
2009-03-12,1.1341625246851608,0.8597866695182949,0.8026315850758148,0.8481366030933706,0.7820211732306149
2009-03-13,1.1019523089841021,0.8543700135003296,0.8132263219988156,0.8511898948645068,0.8059510211314718
2009-03-16,1.1495566487322153,0.8578729305556809,0.8320118500369882,0.8458273985268604,0.8010347199025698
2009-03-17,1.1562240772948622,0.8897858035723522,0.8499833059977872,0.8818596457041046,0.8301122802350331
2009-03-18,1.170676878261048,0.8975269400634316,0.8731028519209271,0.9020542315907285,0.8835715110821692
2009-03-19,1.143751310061044,0.9098230591423007,0.8863740152701253,0.8866291042305271,0.8951462978773458
2009-03-20,1.1203044082047926,0.8773423759309206,0.8786625613372752,0.8716450723690312,0.8845835715623931
