date,ar,avg_15,avg_252,std_252,ar_shift
1987-03-27,0.7538785164531638,0.7544133611331999,0.7502299489413959,0.010306483840072909,0.4059010091820379
1987-03-30,0.7586258945552803,0.7546135370658033,0.750347321500249,0.010232452011736424,0.4169299363105755
1987-03-31,0.7585065316977553,0.7548181867349678,0.7504663945275611,0.010151476556758953,0.42868563829851947
1987-04-01,0.7580642092035217,0.7550442959187927,0.7505794991726046,0.010076139249875537,0.44310589953818974
1987-04-02,0.7574972503941995,0.7552648510931458,0.750678165506607,0.010021294327998932,0.4576939301866227
1987-04-03,0.7598460525296704,0.7556621046101323,0.7507855355217244,0.009973695937016601,0.48894302766027037
1987-04-06,0.7591937747694395,0.7559860538785407,0.7508777883924437,0.009943359673180135,0.5137363681890474
1987-04-07,0.7600787224197678,0.7563217847534531,0.7509770549313759,0.009909662640711239,0.5393452850876898
1987-04-08,0.75915154544751,0.7566186993697652,0.7510712268679902,0.009873931855807512,0.5618301384683116
1987-04-09,0.7604186506437544,0.7570004441695782,0.751172960247777,0.009837433417294626,0.5923784868069601
1987-04-10,0.7598317994273595,0.7573281006564947,0.7512744284628263,0.009794083725645034,0.6180947971495595
1987-04-13,0.7635717742263353,0.7579337508318008,0.7513923654921918,0.009762337016864213,0.6700634620899613
1987-04-14,0.7694949034295682,0.7589860553821839,0.7515281534704963,0.009775250913192998,0.7629371335749731
1987-04-15,0.7704448886933392,0.760103925566213,0.7516716545534177,0.009786502435699678,0.8616225324826635
1987-04-16,0.7698766091820176,0.7612320748715116,0.7518141922206559,0.009789045581778654,0.9620838489490843
1987-04-20,0.7696403080241987,0.7622828609762473,0.751956375953086,0.009786710237103072,1.0551538538468124
1987-04-21,0.7709763687771014,0.7631062259243687,0.7521030972674628,0.009793627723667191,1.1234987654590782
1987-04-22,0.7717466535415095,0.7639889007139523,0.7522515411585848,0.009806788235459989,1.196860712554882
1987-04-23,0.7711859855694113,0.7648636858050116,0.7524017395802463,0.009805778606730068,1.2708777879415185
1987-04-24,0.772644869714595,0.7658735270930381,0.7525580792469971,0.009813237697766049,1.356886305635113
1987-04-27,0.7716583277297531,0.7666610121063769,0.7527118232071289,0.009807756629234428,1.4222609131296169
1987-04-28,0.7712240482288958,0.7674630303370074,0.7528614493954238,0.009801390667963466,1.4897458367117111
1987-04-29,0.7709714041243052,0.7681892091173098,0.7529925984895124,0.009821783639444729,1.5472353276819444
1987-04-30,0.7711511092153229,0.7689891800351639,0.753127804301745,0.0098363533922496,1.6125260145611147
1987-05-01,0.7706780695058003,0.7696731412926338,0.7532623634670635,0.009843609707013907,1.667150396452327
1987-05-04,0.7702572944506603,0.7703681742941871,0.7533936957956473,0.00984871713603987,1.7235217809662067
1987-05-05,0.7714269191345354,0.7708918506214004,0.7535321689368809,0.00985600355093864,1.761330705168654
1987-05-06,0.7699890464901118,0.7709247934921034,0.7536665127140071,0.00984864362830112,1.7523510271508684
