,pc1,pc2,pc3,date
0,0.6214021652302437,0.024888264739418336,0.019712813315484544,1972-01-03
1,0.6208265194830906,0.024894560837893882,0.019700270485913225,1972-01-04
2,0.6209202468727548,0.024880050461182166,0.01966937090382564,1972-01-05
3,0.6211955803244691,0.024663890296459025,0.01968682821639366,1972-01-06
4,0.6210908376557785,0.024717880347442996,0.019676723541417317,1972-01-07
5,0.6218213270271764,0.024725558040880877,0.01972587043966675,1972-01-10
6,0.6215973807765521,0.024731768008926572,0.019693601229174906,1972-01-11
7,0.6213669597591897,0.024829075352020315,0.0197746197789561,1972-01-12
8,0.6213228815241573,0.02495129533239438,0.019781608010101866,1972-01-13
9,0.6215348171883852,0.024857986795243592,0.01971827749645496,1972-01-14
10,0.6225066191381186,0.024811108147576692,0.019767160201736394,1972-01-17
11,0.6223042752213471,0.024791894958419887,0.01979938957974221,1972-01-18
12,0.6221096477417967,0.024877089941488014,0.019811424871415257,1972-01-19
13,0.6218992876629096,0.024939930864770605,0.01980095181933627,1972-01-20
14,0.6219654410430812,0.024982001585064376,0.019755142026871095,1972-01-21
15,0.6225362446027677,0.025002487705561745,0.019737720637054684,1972-01-24
16,0.6223889156360792,0.025054708736020993,0.0197345410726876,1972-01-25
17,0.6220389575897937,0.02516566318794364,0.019724281427982982,1972-01-26
18,0.6216233507862334,0.02533559822339921,0.01969136232698244,1972-01-27
19,0.621835664542283,0.025328337372264576,0.019694907708415494,1972-01-28
20,0.6217900795639666,0.0256707785967115,0.019770389293189035,1972-01-31
21,0.6215124948526514,0.02571243849571868,0.01975239993708214,1972-02-01
22,0.6212322371653621,0.025708184761280287,0.019690628044946357,1972-02-02
23,0.6217590772533607,0.025750539598885444,0.019747941412429852,1972-02-03
24,0.6212272401058955,0.025795402399381263,0.01969654268503026,1972-02-04
25,0.6222827801379927,0.025692997078333207,0.019747114071795,1972-02-07
26,0.6220767994168851,0.02570418068894124,0.019739051763744374,1972-02-08
27,0.6218090034241295,0.025695275404381962,0.019727112418927228,1972-02-09
28,0.6220917621350429,0.025670746198117017,0.019700522527677657,1972-02-10
29,0.6217262595845995,0.025702240272613537,0.019770644625349273,1972-02-11
30,0.6224939841374793,0.025553652708698915,0.01979757034157608,1972-02-14
31,0.6222595492686098,0.02555275708100587,0.019808839984277838,1972-02-15
32,0.6222010462734976,0.02553720553554941,0.019796550453312804,1972-02-16
33,0.6223379312885728,0.025540728308887022,0.01981486727445374,1972-02-17
34,0.6228833483037272,0.02559671284659553,0.019809522619837195,1972-02-18
35,0.6239246266080871,0.02558457040844116,0.019729044502646967,1972-02-22
36,0.6237454893321243,0.025567953887266247,0.019725451413466936,1972-02-23
37,0.6235615486251749,0.025568117467340744,0.019723957731025577,1972-02-24
38,0.6238128413077271,0.025545709122183475,0.01966078813381113,1972-02-25
39,0.6234846164475063,0.02542756588033903,0.01957090196818006,1972-02-28
40,0.6233176016805518,0.0254151192196119,0.019552670035839048,1972-02-29
41,0.6231017298561108,0.025386956299234705,0.01952651378334732,1972-03-01
42,0.6235647294771736,0.025291461845020815,0.019328082961973227,1972-03-02
43,0.6240549891000589,0.02526533139306396,0.019188168781961255,1972-03-03
44,0.6248703897245909,0.025171684083554077,0.01907628272849182,1972-03-06
45,0.6246403886966498,0.025170921318530826,0.019072572694216132,1972-03-07
46,0.6243535498022917,0.02516400996131963,0.01906458806428396,1972-03-08
47,0.623745123794002,0.0251843650420369,0.01909765813132883,1972-03-09
48,0.6238173167436689,0.02510079289280038,0.019091530815958165,1972-03-10
49,0.6246601206054925,0.025103847445127492,0.019081975407521767,1972-03-13
50,0.6244975791618278,0.025080400761415395,0.019093366274233095,1972-03-14
51,0.6242349465170954,0.025091392032119776,0.019075898106368696,1972-03-15
52,0.6236531775637302,0.02514604631187992,0.019100518411560675,1972-03-16
53,0.6235436954269099,0.025109598654057437,0.01905574070621065,1972-03-17
54,0.6240489997440672,0.02502971078328078,0.01920503484518404,1972-03-20
55,0.6244867203317758,0.02501404247821016,0.019197069344580042,1972-03-21
56,0.624256588317807,0.025008122730296827,0.01920873059159248,1972-03-22
57,0.6247458681794099,0.025000141081318605,0.019211844431909104,1972-03-23
58,0.6245062248973616,0.024985125444146113,0.019167459096732804,1972-03-24
59,0.6228119612719951,0.025102599293216173,0.01926514307271975,1972-03-27
60,0.6226250040813983,0.025104558459427745,0.01925565089545045,1972-03-28
61,0.6226369058839649,0.025098340220712063,0.019277701798489973,1972-03-29
62,0.6229261903965175,0.02506036091252491,0.019309223466292193,1972-03-30
63,0.6236860304831596,0.025032503119311336,0.01930132949648568,1972-04-03
64,0.623548678345463,0.025037485616000475,0.019308393814544706,1972-04-04
65,0.6236331728824205,0.025021301251154666,0.019306301569257514,1972-04-05
66,0.6232507740433554,0.024974307708377535,0.01931335562231848,1972-04-06
67,0.6233095542362144,0.024964236934526186,0.019285847102361163,1972-04-07
68,0.6236363305484798,0.024902871935847507,0.01933879015059462,1972-04-10
69,0.6234476625682358,0.024856048017709242,0.019282561604011025,1972-04-11
70,0.6232348491386784,0.02482831290453396,0.019273031413397795,1972-04-12
71,0.6226541402841356,0.024889082927148712,0.019282984531860007,1972-04-13
72,0.6223147224669376,0.024897562812597102,0.01928192014180202,1972-04-14
73,0.6228360430562121,0.02502875260748008,0.019371546653582417,1972-04-17
74,0.6226041278247746,0.025050837491559366,0.019344621752541147,1972-04-18
75,0.6226645883047451,0.025042750912045816,0.019345289448518554,1972-04-19
76,0.6229939511486208,0.02505920005278606,0.019423064630552947,1972-04-20
