relative_date,1998-09-14 00:00:00,2001-05-31 00:00:00,2001-09-19 00:00:00,2002-07-10 00:00:00,2006-07-03 00:00:00,2007-03-23 00:00:00,2007-07-30 00:00:00,2008-08-25 00:00:00,avg
-42,114.09024705926146,92.39620372995769,118.33972837943216,116.57197343939187,102.18171169820762,99.43458403604096,103.82112510146575,104.35177341812975,106.3984183577359
-41,114.9817449326451,91.24476789074929,119.51972941500554,114.61427573009182,102.50432045720754,100.27992421000165,103.84758632632976,101.28746006076534,106.03497612784952
-40,115.24977991731578,88.10657644092052,118.85739493705528,116.74037098384854,103.55963337044483,99.14978928758642,104.23566772685489,100.91093108631345,105.85126796879246
-39,114.9924260260192,87.85096966010889,119.57681810105395,119.2086721154726,103.47371052803216,99.03002334203428,104.42835844913536,101.03880794218281,106.1999732705049
-38,113.14434792339867,91.68829853425609,119.16642108840685,118.53400773689773,103.51120343851564,98.92139248439366,103.86997277102692,101.42638919255079,106.28275414618079
-37,113.04820622832219,89.85603844288657,117.21583091369168,119.31187495772821,103.33232068147846,99.49237599230845,102.94929606930307,99.58006169424742,105.59825062249575
-36,110.68543219781813,90.5854353708811,115.30853779800816,120.22010505948553,102.00986601338226,100.14831767096801,101.14049949682263,99.68899454449254,104.9733985189823
-35,110.78740641003118,93.03722307766856,117.16268269250523,118.62201262782656,100.86315697934533,100.68448490400831,102.29050681403457,98.85305897993564,105.28756656066942
-34,111.4157297296913,92.83894702370613,118.38697791693814,117.31833077160768,101.1178074542619,100.85508975093359,102.3888812831847,100.54150370501773,105.60790845441764
-33,109.76187918960257,94.2412169433391,118.67138817651504,117.98538291278153,100.92876957269144,100.75760248127159,101.29519206583983,98.25155307602569,105.23662305225835
-32,109.27339402470476,93.93703748669402,118.54345521823868,119.18693612749306,99.22902103836672,100.82793203652342,102.83328078357692,98.93830700524468,105.34617046510527
-31,110.99619155598516,94.90294067358452,119.203819463758,117.74636661543217,98.56428470354092,100.9685911470271,103.32855706154021,97.84108677308522,105.44397974924415
-30,108.83250551896006,98.59375445010569,119.66637958137608,116.73928352136267,98.97203440804111,100.84952220697782,104.00295802537478,96.95779119446773,105.57677861333325
-29,108.03324914118555,99.83038930946219,120.14073706635516,115.99075126417513,98.58458541727931,100.13578857205077,103.87676407130502,95.90082938321267,105.31163677812822
-28,104.1176266966164,98.97756315638603,119.51087538267862,115.66483080012043,98.15574356680013,99.80920749369317,104.0565513230571,98.3044440459501,104.82460530816275
-27,105.02176169046263,97.49486691699205,118.14585270278046,115.93425626186095,98.31118848712102,100.56750698046761,102.64126919132426,99.48533203031464,104.70025428266545
-26,105.81808995495922,96.30918622347883,118.5316458372653,113.05964201265435,99.42899594138291,101.33625304971783,103.27563461181217,99.51375767456261,104.65915066322916
-25,105.80060425825913,97.84444048933496,116.47771456882366,113.06071621340257,99.99766384459093,101.44139887984416,101.94381093483823,99.46007656808621,104.50330321964748
-24,105.18782246292024,98.30390281498923,116.4678754202812,114.06130105603216,98.41273973245394,101.35296418165221,101.61678498022779,100.80199823606833,104.52567361057814
-23,103.8126880008763,99.77943514361891,117.13020989823148,111.80701784632032,99.21105648003741,101.64124395762104,101.28772991760744,101.21167440245682,104.48513195584621
-22,105.29270107899195,99.49355913876379,117.24141990806945,111.63102132620028,100.43118754121645,101.49849383060878,102.20026534107112,98.87121284900789,104.58248262674122
-21,104.38857793985537,100.84566224231185,116.79263940385572,111.9797519789828,100.62725295967053,101.41145314342256,102.15752155968671,99.28325942505232,104.68576483160473
-20,103.20767104034323,100.92450414218877,115.93544413303827,110.11765813627497,98.83611783987438,101.05005579019047,101.99740423252055,97.43693192674895,103.68822340514744
-19,105.23929561212148,99.42348501027006,116.29367804071438,110.84120527976297,98.72362957309574,100.92332828967685,103.0883852118277,99.71266973361702,104.28070959388577
-18,106.94169118813352,100.8592027140821,114.35587034957571,109.6787542984607,98.12216014087876,97.41872512083482,103.45746753572121,101.37507849573034,104.02611873042714
-17,106.63676434710305,100.61235398428624,115.28491903606137,109.42997073134504,98.26120429669517,97.9604598978309,103.49342829890102,100.04262883056032,103.96521617784788
-16,106.00940125892275,100.42840575185244,113.89233712935453,112.5696738540864,97.82142542477027,97.70630789130081,103.83537026790273,99.48455152957429,103.96843413847054
-15,105.00330390757308,99.97771119758134,114.68458681162453,112.67505162131373,96.66065178163792,96.59218709531712,103.93103649901514,98.59256444888506,103.51463667036847
-14,105.67339136924979,99.94904583415672,114.36767973054909,110.81187031612004,95.58659241315891,95.68347892106608,102.4567280293775,101.42401878289486,103.24410067457163
-13,106.13079348550514,99.19177089249594,116.61549868925482,109.32349887076305,96.08262018613723,97.16595862524335,103.04292491033206,101.76423038339064,103.66466200539028
-12,105.28978482042368,99.45056595381057,116.0525528265567,107.46032419643817,98.12294203779118,96.92641823407196,105.0064057697562,99.93921730036742,103.53102639240198
-11,101.24985389070385,99.49196499851229,114.31060305811309,107.84925117598459,97.76205847139535,97.617176187606,105.33207346431101,102.32704850368854,103.24250371878932
-10,99.74945071202941,102.322788711193,113.03612697475256,106.04800218553436,96.8707818091874,97.68332370984069,105.12989148578826,103.03747762203201,102.98473040129471
-9,92.96508337535828,102.60149108491645,111.11406912944919,105.76445297321526,96.86999991227498,97.94514277690223,105.11971281744464,101.7958069380349,101.77196987594951
-8,96.556349109818,102.87780224826267,111.56185250383504,107.62328442846551,97.81360645564604,95.95016852658051,104.9026065424571,101.4990046688398,102.34808431048809
