cut,min,avg,max
0.05,0.4446644042232277,0.45537596833188426,0.46995060373216246
0.1,0.4412453183520599,0.45589759891489295,0.47034904970760233
0.15,0.44675276062137376,0.4551543772378379,0.46751019651464587
0.2,0.44531982742449816,0.4602884191527022,0.47073548152193706
0.25,0.4610613691475471,0.4795272825670815,0.4977402693230032
0.3,0.5415969511061535,0.6275443188644514,0.7303266518188566
0.35,0.6781100036913991,0.7525317862486937,0.8020775623268698
0.4,0.7571704357418643,0.7940775140733548,0.8371487064954403
0.45,0.8065656565656565,0.8562398680664761,0.8874458874458875
0.5,0.8291780821917808,0.890316432304576,0.9271700906903573
0.55,0.8425615212527964,0.8691053229603288,0.8968473451327433
0.6,0.7982723577235772,0.8241869805876795,0.8590518030386234
0.65,0.5249719416386083,0.6024849706928221,0.7126851851851851
0.7,0.4524674115456238,0.4823758082245692,0.5130266075388027
