relative_date,1973-05-18 00:00:00,1973-11-26 00:00:00,1974-07-31 00:00:00,1974-09-05 00:00:00,1978-04-26 00:00:00,1979-10-25 00:00:00,1980-04-01 00:00:00,1982-09-07 00:00:00,1986-07-08 00:00:00,1987-04-20 00:00:00,1987-10-08 00:00:00,1990-10-01 00:00:00,1994-11-09 00:00:00,1996-01-17 00:00:00,1996-03-11 00:00:00,1997-05-12 00:00:00,1997-06-27 00:00:00,1997-08-28 00:00:00,1997-10-24 00:00:00,1998-09-14 00:00:00,2001-05-31 00:00:00,2001-09-19 00:00:00,2002-07-10 00:00:00,2006-07-03 00:00:00,2007-03-23 00:00:00,2007-07-30 00:00:00,2008-08-25 00:00:00,2010-09-10 00:00:00,2011-08-23 00:00:00,2015-01-26 00:00:00,2015-03-23 00:00:00,2015-09-03 00:00:00,2016-07-13 00:00:00,2018-12-13 00:00:00,2020-03-11 00:00:00,avg
-42,107.78932822101707,112.68378522235759,110.04917597534276,114.42076082295833,91.39640378298824,109.13999938964845,111.72441115791108,88.59684958878778,97.71927869930111,99.7658139331216,104.40539730600973,112.88498960363582,100.17404331096186,97.95339920436979,93.50957192043401,96.01270629495109,89.49058928402039,97.94947617911959,96.96062245954226,114.09024705926146,92.39620372995769,118.33972837943216,116.57197343939187,102.18171169820762,99.43458403604096,103.82112510146575,104.35177341812975,98.71929319251342,110.42285257957623,100.31160094286138,96.56437738465266,106.6735728876064,95.89673870817106,104.39872033743123,119.45443868261772,103.32158696953702
-41,106.38359061665284,112.94263798199754,112.34396824724972,114.97107407811306,90.60111701838028,109.0199966430664,112.6639287558808,89.6679569648601,98.1539006073578,99.81824285353281,106.10198073806183,111.60221256800176,100.45337685793136,98.51081545352956,94.16736727748231,94.25781616311775,90.3121872962815,98.60126441595682,97.03283611499478,114.9817449326451,91.24476789074929,119.51972941500554,114.61427573009182,102.50432045720754,100.27992421000165,103.84758632632976,101.28746006076534,98.7039787075851,109.12805762588438,100.59889570667188,98.03888857436404,104.89716464761474,95.08369844084056,103.78224808991976,119.1133749149055,103.29235389665804
-40,104.79491209153981,112.2696192270218,113.65527949115564,112.8686253192326,89.89878247250222,109.0199966430664,111.92992993247113,90.27766104908478,98.4519266976832,99.78678550128608,105.8027790851235,109.5002167645321,100.73055305996428,98.96103239875,94.02987081550336,94.68877687119728,89.99549648175964,100.03984268522001,95.96767011303598,115.24977991731578,88.10657644092052,118.85739493705528,116.74037098384854,103.55963337044483,99.14978928758642,104.23566772685489,100.91093108631345,98.82203886402607,110.13033961141028,100.48320399115056,97.50050581783319,105.13446328333997,96.01520038954882,106.01310979889492,119.94433545777193,103.243517076127
-39,104.8334263562156,112.04182753460915,113.86962594706078,112.72752404895516,90.05371071702992,109.0199966430664,112.21374370685086,90.17878756810398,98.34016533481481,98.70320825524553,106.52215113175664,106.18847719670069,102.02191744424525,98.42999825058789,93.71894456731624,94.99200719661975,91.62289889412385,101.46624323597979,95.52163849355352,114.9924260260192,87.85096966010889,119.57681810105395,119.2086721154726,103.47371052803216,99.03002334203428,104.42835844913536,101.03880794218281,95.97403974768946,111.55590580983706,100.76515804179071,97.75093205056693,106.43166329207389,95.11157277844931,105.98632427869762,119.76267583080914,103.29726715762257
-38,105.75774667089983,112.64236783286808,115.9500717630626,117.32749866429081,90.1879776596324,109.31999969482422,113.25112632128412,90.99447964255435,97.85587451703238,98.87797843469964,106.31206593490926,106.31548357676787,101.24409295678025,98.9890652683717,95.06577667477137,94.26975126675678,93.57488892708888,100.94393190635869,98.50686065376661,113.14434792339867,91.68829853425609,119.16642108840685,118.53400773689773,103.51120343851564,98.92139248439366,103.86997277102692,101.42638919255079,96.54814590215408,112.4798951813653,100.50896996513463,96.44225602178452,107.60944131871699,95.1310876504151,104.46097732883888,119.98665561402876,103.73761430053155
-37,107.41382332273426,112.63201151060586,116.69399306611052,118.21644635584197,90.32224460223487,107.44000244140625,113.79917638677759,91.01919644128387,98.32360482091592,99.26946192993682,106.35026147724076,107.43316297727684,101.17103830651178,98.6856258114182,94.74234814737393,93.80536789665513,93.28975782187928,101.66875268350515,98.53659263810918,113.04820622832219,89.85603844288657,117.21583091369168,119.31187495772821,103.33232068147846,99.49237599230845,102.94929606930307,99.58006169424742,97.65039275272805,113.61810490706179,99.8225577719779,95.14070900810515,108.08864329358418,94.77846451928592,104.42324916834092,120.99053033069211,103.71747215341601
-36,107.47159839267037,112.24891448205669,117.38746859163547,116.84774142694326,89.75418487893714,106.40000152587889,115.43354530824716,91.51355127406234,97.03629961064476,98.90593696987722,104.80328372866983,107.93801987877079,99.56166554110965,98.94453477817193,95.03452574496801,93.43290231190535,91.92156050243221,100.4282531444416,98.85624874010149,110.68543219781813,90.5854353708811,115.30853779800816,120.22010505948553,102.00986601338226,100.14831767096801,101.14049949682263,99.68899454449254,96.39853262590388,115.25530796092531,100.45987100872186,96.04784572648897,108.00919964686429,95.34898387122203,103.97427853182926,121.45781538936147,103.44740742127713
-35,108.52108455816727,113.73990100588249,116.35355140582493,118.10356103348525,90.22929238350497,106.8499984741211,114.62125895163994,91.23341917371089,96.34504658102443,99.33937426856856,104.98789875461357,106.5345737006192,99.15341588030132,99.16717716350844,95.59544989513725,93.60599774661162,92.44449690638494,101.11877638716742,98.66296815559933,110.78740641003118,93.03722307766856,117.16268269250523,118.62201262782656,100.86315697934533,100.68448490400831,102.29050681403457,98.85305897993564,98.56878877166609,115.10130623166148,100.83807657894329,94.79999545228003,108.87485886365053,95.15013747748077,103.40118998449977,121.13571197785103,103.62222400712176
-34,107.37530905805848,114.13336225625316,116.07615734772956,118.21644635584197,90.72505331002016,107.66000366210938,115.38461653332648,91.90079788365868,96.52717433799945,98.9199215710286,106.5826306451229,107.58874506611174,99.11259025849255,100.01319608332999,95.8407558662487,94.41659384529002,92.95390968598983,101.43968594859463,98.89129579467753,111.4157297296913,92.83894702370613,118.38697791693814,117.31833077160768,101.1178074542619,100.85508975093359,102.3888812831847,100.54150370501773,99.37902624079783,115.21658698603471,100.72091320023722,96.02883695310187,108.9952943810043,96.4519229209629,100.20977078300302,121.17072941354165,103.90841697211167
-33,106.08511424772158,114.02981483274974,116.4292008326824,117.87780115410871,90.77669868485533,108.1699981689453,115.91309658217612,91.8019244026779,97.73169592673254,99.31140506626578,106.92003755441675,107.7633873174241,98.76880521188308,100.2094463020065,95.74543909988166,94.19932103978797,94.40549810308124,101.62780907309596,99.14829240405165,109.76187918960257,94.2412169433391,118.67138817651504,117.98538291278153,100.92876957269144,100.75760248127159,101.29519206583983,98.25155307602569,100.49208784617392,116.42104350034252,100.88863533028929,97.4154448923072,109.07935524392197,97.12465006789088,102.07618177751954,121.30898238191948,104.10326147037073
